displayName,TEAM_ABBREVIATION,MIN,jackDKavgFPTs
Josh Hart,NYK,32.3,27.9
Josh Minott,MIN,6.4,7.02
Josh Okogie,PHX,18.8,16.53
Josh Richardson,NOP,23.5,20.48
Joshua Primo,SAS,23.3,18.48
Jrue Holiday,MIL,32.6,39.72
Juan Toscano-Anderson,UTA,13.5,8.7
Juancho Hernangomez,TOR,14.6,8.43
Julian Champagnie,SAS,18.8,17.02
Julius Randle,NYK,35.5,47.05
Justin Champagnie,BOS,6.9,5.9
Justin Holiday,DAL,15.4,9.2
Justin Jackson,BOS,4.7,3.22
Justin Minaya,POR,22.2,14.05
Justise Winslow,POR,26.8,20.45
Jusuf Nurkic,POR,26.8,31.48
KZ Okpala,SAC,7.1,3.95
Kai Jones,CHA,11.9,9.12
Karl-Anthony Towns,MIN,33.0,40.28
Kawhi Leonard,LAC,33.6,41.72
Keegan Murray,SAC,29.8,23.25
Keita Bates-Diop,SAS,21.7,18.58
Keldon Johnson,SAS,32.8,34.4
Kelly Olynyk,UTA,28.6,28.05
Kelly Oubre Jr.,CHA,32.2,32.55
Kemba Walker,DAL,16.0,14.4
Kendall Brown,IND,6.7,4.75
Kendrick Nunn,WAS,13.8,12.15
Kennedy Chandler,MEM,7.8,6.58
Kenneth Lofton Jr.,MEM,7.3,9.33
Kenrich Williams,OKC,22.8,19.48
Kentavious Caldwell-Pope,DEN,31.3,22.12
Kenyon Martin Jr.,HOU,28.0,23.48
Keon Ellis,SAC,4.4,3.68
Keon Johnson,POR,10.4,9.52
Kessler Edwards,SAC,10.7,7.07
Kevin Durant,PHX,35.6,48.52
Kevin Huerter,SAC,29.4,27.18
Kevin Knox II,POR,15.1,12.15
Kevin Love,MIA,20.0,20.3
Kevin Porter Jr.,HOU,34.3,37.38
Kevon Harris,ORL,13.4,8.62
Kevon Looney,GSW,23.9,24.52
Khem Birch,SAS,8.1,5.47
Khris Middleton,MIL,24.3,29.15
Killian Hayes,DET,28.3,26.23
Kira Lewis Jr.,NOP,9.4,8.68
Klay Thompson,GSW,33.0,34.12
Kobi Simmons,CHA,5.6,4.3
Kris Dunn,UTA,25.8,30.02
Kristaps Porzingis,WAS,32.6,42.55
Kyle Anderson,MIN,28.4,26.93
Kyle Kuzma,WAS,35.0,37.7
Kyle Lowry,MIA,31.2,26.78
Kyrie Irving,DAL,37.3,46.03
LaMelo Ball,CHA,35.2,47.3
Lamar Stevens,CLE,18.1,11.63
Landry Shamet,PHX,20.2,16.37
Larry Nance Jr.,NOP,21.2,19.05
Lauri Markkanen,UTA,34.4,42.15
LeBron James,LAL,35.5,51.98
Leandro Bolmaro,UTA,4.9,2.12
Lester Quinones,GSW,4.5,4.45
Lindell Wigginton,MIL,12.4,11.55
Lindy Waters III,OKC,12.9,10.3
Lonnie Walker IV,LAL,23.2,17.73
Louis King,PHI,28.8,31.0
Luguentz Dort,OKC,30.7,25.5
Luka Doncic,DAL,36.2,58.55
Luka Garza,MIN,8.7,10.68
Luka Samanic,UTA,23.0,20.68
Luke Kennard,MEM,22.3,16.88
Luke Kornet,BOS,11.7,10.23
Mac McClung,PHI,20.5,25.75
Malachi Flynn,TOR,13.0,9.5
Malaki Branham,SAS,23.5,17.62
Malcolm Brogdon,BOS,26.0,27.95
Malcolm Hill,CHI,1.8,1.85
Malik Beasley,LAL,25.8,22.02
Malik Monk,SAC,22.3,24.4
Mamadi Diakite,CLE,8.0,6.05
MarJon Beauchamp,MIL,13.5,9.9
Marcus Morris Sr.,LAC,28.1,21.1
Marcus Smart,BOS,32.1,28.42
Mark Williams,CHA,19.3,21.42
Markelle Fultz,ORL,29.6,30.33
Markieff Morris,DAL,10.1,8.6
Marko Simonovic,CHI,2.8,1.33
Marvin Bagley III,DET,23.6,23.45
Mason Plumlee,LAC,26.0,28.22
Matisse Thybulle,POR,16.9,11.3
Matt Ryan,MIN,9.1,5.9
Matthew Dellavedova,SAC,6.6,4.35
Max Christie,LAL,12.5,7.05
Max Strus,MIA,28.4,20.85
Maxi Kleber,DAL,25.1,14.9
McKinley Wright IV,DAL,12.4,10.28
Meyers Leonard,MIL,12.6,10.15
Mfiondu Kabengele,BOS,9.1,5.48
Micah Potter,UTA,7.5,7.52
Michael Carter-Williams,ORL,11.1,9.48
Michael Foster Jr.,PHI,1.0,0.0
Michael Porter Jr.,DEN,29.0,28.92
Mikal Bridges,BKN,35.7,34.4
Mike Conley,MIN,30.3,28.17
Mike Muscala,BOS,15.0,12.95
Miles McBride,NYK,11.9,7.65
Mitchell Robinson,NYK,26.9,25.55
Mo Bamba,LAL,15.7,16.3
Monte Morris,WAS,27.4,24.45
Montrezl Harrell,PHI,11.9,11.1
Moritz Wagner,ORL,19.5,19.82
Moses Brown,BKN,8.2,10.13
Moses Moody,GSW,13.0,9.07
Moussa Diabate,LAC,8.9,7.07
Myles Turner,IND,29.4,35.17
Naji Marshall,NOP,23.3,18.95
Nassir Little,POR,18.1,13.0
Nathan Knight,MIN,7.7,6.83
Naz Reid,MIN,18.4,21.92
Neemias Queta,SAC,5.7,6.15
Nerlens Noel,BKN,11.5,9.02
Nic Claxton,BKN,29.9,33.1
Nick Richards,CHA,18.7,19.25
Nickeil Alexander-Walker,MIN,15.0,12.88
Nicolas Batum,LAC,21.9,16.35
Nikola Jokic,DEN,33.7,58.05
Nikola Jovic,MIA,13.6,10.28
Nikola Vucevic,CHI,33.5,40.35
Noah Vonleh,BOS,7.5,4.72
Norman Powell,LAC,26.1,25.62
O.G. Anunoby,TOR,35.6,31.3
Obi Toppin,NYK,15.7,13.75
Ochai Agbaji,UTA,20.5,13.72
Olivier Sarr,OKC,12.6,10.1
Omer Yurtseven,MIA,9.2,8.7
Onyeka Okongwu,ATL,23.1,23.95
Orlando Robinson,MIA,13.7,11.38
Oshae Brissett,IND,16.7,12.9
Otto Porter Jr.,TOR,18.3,12.95
Ousmane Dieng,OKC,14.6,11.28
P.J. Tucker,PHI,25.6,11.02
P.J. Washington,CHA,32.6,29.67
PJ Dozier,SAC,5.0,4.32
Paolo Banchero,ORL,33.7,35.98
Pascal Siakam,TOR,37.4,44.9
Pat Connaughton,MIL,23.7,17.55
Patrick Baldwin Jr.,GSW,7.3,7.02
Patrick Beverley,CHI,27.1,18.32
Patrick Williams,CHI,28.3,20.7
Patty Mills,BKN,14.2,10.88
Paul George,LAC,34.6,42.72
Paul Reed,PHI,10.9,12.0
Payton Pritchard,BOS,13.4,10.6
Peyton Watson,DEN,8.1,7.25
Precious Achiuwa,TOR,20.7,19.95
Quentin Grimes,NYK,29.9,21.25
Quenton Jackson,WAS,15.0,10.73
R.J. Hampton,DET,15.9,12.03
RJ Barrett,NYK,33.9,31.0
RaiQuan Gray,BKN,35.1,38.75
Raul Neto,CLE,10.5,7.85
Reggie Bullock,DAL,30.3,16.3
Reggie Jackson,DEN,24.4,19.37
Richaun Holmes,SAC,8.3,6.48
Ricky Rubio,CLE,17.2,14.92
Robert Covington,LAC,16.2,15.38
Robert Williams III,BOS,23.5,23.98
Robin Lopez,CLE,8.1,5.8
Rodney McGruder,DET,16.4,11.42
Romeo Langford,SAS,19.6,13.73
Ron Harper Jr.,TOR,5.3,4.15
Royce O'Neale,BKN,31.7,24.02
Rudy Gay,UTA,14.6,11.48
Rudy Gobert,MIN,30.7,34.75
Rui Hachimura,LAL,23.3,19.58
Russell Westbrook,LAC,29.1,36.25
Ryan Arcidiacono,POR,8.6,4.7
Ryan Rollins,GSW,5.2,3.8
Saben Lee,PHX,14.9,13.6
Saddiq Bey,ATL,27.6,24.68
Sam Hauser,BOS,16.1,13.1
Sam Merrill,CLE,11.7,10.85
Sandro Mamukelashvili,SAS,15.3,14.72
Santi Aldama,MEM,21.8,19.55
Scottie Barnes,TOR,34.8,33.95
Scotty Pippen Jr.,LAL,5.3,4.57
Serge Ibaka,MIL,11.6,8.9
Seth Curry,BKN,19.8,15.35
Shaedon Sharpe,POR,22.2,17.2
Shai Gilgeous-Alexander,OKC,35.5,49.9
Shake Milton,PHI,20.6,17.08
Shaquille Harrison,LAL,24.0,28.2
Simone Fontecchio,UTA,14.7,10.82
Skylar Mays,POR,31.5,34.3
Spencer Dinwiddie,BKN,34.5,33.75
Stanley Johnson,SAS,15.6,14.25
Stanley Umude,DET,2.1,6.0
Stephen Curry,GSW,34.7,49.92
Sterling Brown,LAL,6.1,4.85
Steven Adams,MEM,27.0,29.48
Svi Mykhailiuk,CHA,14.6,13.02
T.J. McConnell,IND,20.4,22.12
T.J. Warren,PHX,16.4,14.22
Taj Gibson,WAS,9.8,7.68
Talen Horton-Tucker,UTA,20.2,21.9
Tari Eason,HOU,21.6,21.8
Taurean Prince,MIN,22.1,16.15
Terance Mann,LAC,23.1,18.1
Terence Davis,SAC,13.1,13.05
Terrence Ross,PHX,21.1,15.55
Terry Rozier,CHA,35.3,37.13
Terry Taylor,CHI,8.5,5.78
Thaddeus Young,TOR,14.7,12.22
Thanasis Antetokounmpo,MIL,5.6,3.75
Theo Maledon,CHA,19.4,17.3
Theo Pinson,DAL,8.1,6.75
Thomas Bryant,DEN,18.3,19.18
Tim Hardaway Jr.,DAL,30.3,24.37
Tobias Harris,PHI,32.9,28.62
Tony Bradley,CHI,2.8,3.38
Torrey Craig,PHX,24.7,19.4
Trae Young,ATL,34.8,48.15
Tre Jones,SAS,29.2,29.65
