displayName,TEAM_ABBREVIATION,MIN,jackDKavgFPTs,draftableId,playerId,playerDkId,position,rosterSlotId,salary,status,playerImage160,teamAbbreviation,value,DraftGroup,Sport,Type,Time,Team,PPM,pos
Taurean Prince,MIN,22.1,16.15,27503990,696209,32907,SF/PF,476,8700,None,https://dkn.gs/sports/images/nba/players/160/32907.png,MIN,16.3,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.73,CPT
Taurean Prince,MIN,22.1,16.15,27503956,696209,32907,SF/PF,475,5800,None,https://dkn.gs/sports/images/nba/players/160/32907.png,MIN,16.3,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.73,UTIL
Thomas Bryant,DEN,18.3,19.18,27504000,896601,32875,C,476,3600,None,https://dkn.gs/sports/images/nba/players/160/32875.png,DEN,19.5,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.05,CPT
Thomas Bryant,DEN,18.3,19.18,27503966,896601,32875,C,475,2400,None,https://dkn.gs/sports/images/nba/players/160/32875.png,DEN,19.5,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.05,UTIL
Vlatko Cancar,DEN,14.8,10.82,27504001,1057007,33022,SF/PF,476,3300,None,https://dkn.gs/sports/images/nba/players/160/33022.png,DEN,10.9,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.73,CPT
Vlatko Cancar,DEN,14.8,10.82,27503967,1057007,33022,SF/PF,475,2200,None,https://dkn.gs/sports/images/nba/players/160/33022.png,DEN,10.9,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.73,UTIL
Wendell Moore Jr.,MIN,5.3,3.95,27504012,1174855,649575,SG/SF,476,1500,None,https://dkn.gs/sports/images/nba/teams/160/32935.png,MIN,3.8,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.75,CPT
Wendell Moore Jr.,MIN,5.3,3.95,27503978,1174855,649575,SG/SF,475,1000,None,https://dkn.gs/sports/images/nba/teams/160/32935.png,MIN,3.8,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.75,UTIL
Zeke Nnaji,DEN,13.7,10.15,27503994,1193676,527231,C,476,5700,None,https://dkn.gs/sports/images/nba/players/160/527231.png,DEN,10.4,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.74,CPT
Zeke Nnaji,DEN,13.7,10.15,27503960,1193676,527231,C,475,3800,None,https://dkn.gs/sports/images/nba/players/160/527231.png,DEN,10.4,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.74,UTIL
